Hr,Xf_mean,P0_mean,Xi_mean,X0_mean,P1_mean,X1_mean,Xint_effect_mean,Curt_mean,I01_mean,Xf_min,P0_min,Xi_min,X0_min,P1_min,X1_min,Xint_effect_min,Curt_min,I01_min,Xf_max,P0_max,Xi_max,X0_max,P1_max,X1_max,Xint_effect_max,Curt_max,I01_max
1,15.190628919095085,0.06,15.446395454545454,15.446395454545454,0.06,15.190628919095085,-0.25576653545037026,0,0,14.148365546876345,0.06,15.446395454545454,15.446395454545454,0.06,14.148365546876345,-1.2980299076691093,0,0,17.145294104697474,0.06,15.446395454545454,15.446395454545454,0.06,17.145294104697474,1.6988986501520191,0,0
2,13.348834892021749,0.06,13.573590909090909,13.57359090909091,0.06,13.348834892021749,-0.22475601706916082,0,0,12.432941169395118,0.06,13.573590909090909,13.57359090909091,0.06,12.432941169395118,-1.1406497396957924,0,0,15.066505896346678,0.06,13.573590909090909,13.57359090909091,0.06,15.066505896346678,1.4929149872557677,0,0
3,12.12397617458471,0.06,12.328109090909091,12.328109090909091,0.06,12.12397617458471,-0.2041329163243814,0,0,11.292122776037267,0.06,12.328109090909091,12.328109090909091,0.06,11.292122776037267,-1.035986314871824,0,0,13.684037595724691,0.06,12.328109090909091,12.328109090909091,0.06,13.684037595724691,1.3559285048155996,0,0
4,13.162731966814494,0.06,13.384354545454546,13.384354545454546,0.06,13.162731966814494,-0.22162257864005078,0,0,12.259607186371849,0.06,13.384354545454546,13.384354545454546,0.06,12.259607186371849,-1.124747359082697,0,0,14.856456042359923,0.06,13.384354545454546,13.384354545454546,0.06,14.856456042359923,1.4721014969053776,0,0
5,38.603916443397864,0.06,39.25389545454546,39.25389545454546,0.06,38.603916443397864,-0.6499790111475933,0,0,35.95521451358052,0.06,39.25389545454546,39.25389545454546,0.06,35.95521451358052,-3.2986809409649354,0,0,43.57130337001555,0.06,39.25389545454546,39.25389545454546,0.06,43.57130337001555,4.317407915470092,0,0
6,60.60803040081736,0.06,61.62849545454545,61.62849545454545,0.06,60.60803040081736,-1.0204650537280855,0,0,56.449576495746605,0.06,61.62849545454545,61.62849545454545,0.06,56.449576495746605,-5.178918958798846,0,0,68.40681263843035,0.06,61.62849545454545,61.62849545454545,0.06,68.40681263843035,6.7783171838849015,0,0
7,75.8700616552395,0.06,154.2949909090909,154.2949909090909,0.06,151.740123310479,-78.4249292538514,0,0,70.66444530239502,0.06,154.2949909090909,154.2949909090909,0.06,141.32889060479005,-83.63054560669588,0,0,85.63269682570206,0.06,154.2949909090909,154.2949909090909,0.06,171.2653936514041,-68.66229408338884,0,0
8,226.19179386828716,0.06,460.0004272727273,460.0004272727273,0.06,452.3835877365743,-233.80863340444012,11,0,210.67226382769613,0.06,460.0004272727273,460.0004272727273,0.06,421.34452765539226,-249.32816344503115,11,0,255.29718687723118,0.06,460.0004272727273,460.0004272727273,0.06,510.59437375446237,-204.7032403954961,11,0
9,257.91140629775055,0.09,524.5077863636363,524.5077863636363,0.09,515.8228125955011,-266.5963800658858,11488,0,240.2155219803036,0.09,524.5077863636363,524.5077863636363,0.09,480.4310439606072,-284.29226438333274,11488,0,291.09834342490655,0.09,524.5077863636363,524.5077863636363,0.09,582.1966868498131,-233.4094429387298,11488,0
10,427.00568326117354,0.09,868.3904636363636,868.3904636363636,0.09,854.0113665223471,-441.3847803751901,32469,0,397.70785854550866,0.09,868.3904636363636,868.3904636363636,0.09,795.4157170910173,-470.68260509085496,32469,0,481.9509490280038,0.09,868.3904636363636,868.3904636363636,0.09,963.9018980560076,-386.43951460835984,32469,0
